DriverId,Speed(m/s)_mean,Acceleration(m/s^2)_mean,Jerk(m/s^3)_mean,Braking_Intensity_mean,Heading_Change(degrees)_mean,SASV_total,Speed_Violation_total,Total_Duration(s),Driving_Score,Driving_Category
1,0.519753086419753,0.4439211582068727,0.5026894865525671,0.1121951219512193,0.20822755847470548,0,0,837.0,77.78942227123586,Safe
3,0.6064253295537276,0.4337694927406348,0.5022584692597237,0.09870347135089902,0.15406313022998974,0,0,829.0,76.81951001246291,Safe
4,0.7742099449674007,0.4369415224522116,0.5009501187648454,0.07864871997888609,0.20650762418827562,0,1,1273.0,57.998607828267396,Risky
5,0.5142634543929042,0.45168747110494717,0.5017799352750807,0.11596548004314974,0.4653529299319069,0,0,664.0,75.19716246965748,Safe
6,0.4101146384479717,0.43142857142857177,0.5017142857142856,0.12619047619047596,0.1739402583045405,0,0,1420.0,80.44735226704277,Safe
7,0.23311862587224905,0.470186335403727,0.5039130434782606,0.05942028985507236,0.6399483993624758,0,0,605.0,79.0686817912077,Safe
8,0.7422979980413877,0.4295002786550254,0.501560468140442,0.09622886866059799,0.22993768231359796,0,1,773.0,58.423212352205695,Risky
11,0.6974674880219027,0.436491639777061,0.49876796714579036,0.08487337440109498,0.42617060882155644,0,1,500.0,57.323362846956044,Risky
12,0.5493484224965707,0.442724867724868,0.5018518518518517,0.09259259259259242,0.29626008868459275,0,0,1091.0,76.43733542512742,Safe
13,0.6065318273356098,0.4368794326241138,0.5029787234042551,0.09834515366430241,0.17569888869214273,0,1,740.0,61.552563691661874,Moderate
14,0.6329489248369872,0.43904660695308967,0.5005313496280551,0.11866808359900792,0.16426209972702308,0,1,977.0,61.016704235558365,Moderate
15,0.8001848364371904,0.4253430185633578,0.49971751412429355,0.11817325800376624,0.20888889343089106,0,1,711.0,57.43781519785661,Risky
16,0.4482720224922404,0.4353358028668065,0.5009019165727169,0.1221345358887634,0.31502161955212193,0,0,917.0,78.23912404932446,Safe
17,0.7090942887680655,0.4253450439146803,0.5006273525721453,0.08615641990798811,0.2783545657857063,0,1,813.0,58.720474045660765,Risky
18,0.43928085246209453,0.4438891906572518,0.5031939163498097,0.12851711026615945,0.26285502944970296,0,0,1340.0,78.76893966332246,Safe
19,0.678545884255372,0.4280316660669309,0.5001259445843826,0.041981528127623784,0.2591024374772708,0,1,813.0,59.707045585555846,Risky
20,0.7911082288514195,0.42940522512506973,0.4999999999999998,0.03739731949848674,0.3201365034425917,0,1,1543.0,56.84840541417721,Risky
21,0.5933098322879945,0.42239095885573047,0.5017305315203954,0.09311907704985561,0.2274147574014873,0,1,825.0,61.549543354538045,Moderate
22,0.7053207053207052,0.43243243243243273,0.5012474012474011,0.09840609840609824,0.2661699012933956,0,1,494.0,58.74713289589795,Risky
23,0.4948263306745245,0.4375857338820305,0.5014403292181068,0.11499771376314565,0.3254021286204227,0,0,1476.0,77.20347587716857,Safe
24,0.419371618809821,0.4406099518459072,0.5022471910112357,0.11985018726591738,0.47668289962701454,0,0,728.0,77.12610245845907,Safe
25,0.5752774200262785,0.42811982538009963,0.5007376185458375,0.10994028802247958,0.14860434453641844,0,0,973.0,77.53322124056716,Safe
26,0.6172018025630193,0.43237370994025015,0.5011406844106462,0.13276299112800988,0.2876759974066999,0,1,1068.0,60.124079947875586,Moderate
27,0.568309952276197,0.4337181805536239,0.5013631937682568,0.09639727361246331,0.2522930235978825,0,1,1055.0,61.61629567328927,Moderate
29,0.7076175174061715,0.42523438741458797,0.5003337041156839,0.09677419354838693,0.2425931894276799,0,1,903.0,59.05766245806059,Risky
30,0.7027049521431544,0.4324237560192619,0.5011235955056178,0.1007490636704118,0.24329365064583428,0,1,896.0,59.01724481450948,Risky
31,0.7796154933559513,0.424391130498001,0.5007633587786258,0.08312128922815928,0.23051646358887057,0,1,796.0,57.81723529948833,Risky
32,0.5385125814168717,0.42695494039199866,0.49929278642149916,0.0990099009900988,0.33515396634584294,0,0,740.0,76.48237116526616,Safe
33,0.5670805341587235,0.4320987654320991,0.5004748338081669,0.07185818296929394,0.21501080269020845,0,1,1077.0,62.16513472455466,Moderate
34,0.6801706359295985,0.43102321019941187,0.5014874141876429,0.11975591151792501,0.23126130113121351,0,1,881.0,59.51240948857688,Risky
35,0.5027847396268448,0.4305406373075549,0.4987468671679196,0.1073517126148703,0.33448089483643906,0,0,846.0,77.11089380057145,Safe
37,0.785951260706961,0.4318287575616569,0.5003257328990226,0.05727470141150911,0.23293023689501127,0,1,1233.0,57.68623888193315,Risky
38,0.7699474165523548,0.4265873015873019,0.4999999999999998,0.09645061728395043,0.47318024140708353,0,1,446.0,55.488186644652785,Risky
39,0.6916374536401971,0.4300411522633748,0.5020576131687241,0.09807956104252381,0.4423306052656973,0,1,513.0,57.29264171953221,Risky
40,0.8776744872362402,0.4280022766078546,0.49999999999999983,0.05577689243027876,0.08217645453242507,0,1,501.0,57.42582709868172,Risky
41,0.6332559713760758,0.43230138008205926,0.5011749347258484,0.10008703220191453,0.1629557309206152,0,1,785.0,61.21449272740263,Moderate
42,0.5927660442811957,0.4430932703659979,0.502479338842975,0.10550964187327803,0.2436737866871232,0,1,1231.0,61.02159728843364,Moderate
43,0.7821771627772449,0.4290118020081032,0.5004315659679406,0.0645293875873406,0.24149825755927892,0,1,1627.0,57.681492370964364,Risky
44,0.5557843253263913,0.43423094477407603,0.49993610223642154,0.0990415335463257,0.24387256605751922,0,0,1621.0,76.93723548237212,Safe
45,0.7600926632200468,0.4262830990519781,0.5005720823798625,0.10450038138825304,0.25357431903446137,0,1,881.0,57.842794740634204,Risky
46,0.6567315247646063,0.4347357065803671,0.5006472491909384,0.11794318590435074,0.24933462212578422,0,1,936.0,59.75803550926807,Risky
47,0.6545740881352119,0.4349170191994796,0.5012528473804099,0.09643128321943793,0.22763882072651506,0,1,890.0,60.11995408903918,Moderate
48,0.8066348557146102,0.4304494804056595,0.499912357581069,0.03739409874379192,0.18232776729926745,0,1,1142.0,57.90075072500592,Risky
49,0.5156194012834294,0.44126146500816715,0.5017590149516269,0.09176194664321297,0.2939382076993977,0,0,1165.0,77.16170311424072,Safe
50,0.6993993245861706,0.4327354260089689,0.500896860986547,0.08819133034379653,0.23546543729190217,0,1,903.0,59.220886788571335,Risky
